지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
포천,2017-01-11 2:00,-8.6,212.6,2.5,0,,,31.4,0,0
포천,2017-01-11 3:00,-10.1,288.3,0.8,0,,,47,0,0
포천,2017-01-11 4:00,-10.5,8,0.6,0,,,47,0,0
포천,2017-01-11 5:00,-11.2,344.5,0.6,0,,,49.4,0,0
포천,2017-01-11 6:00,-11.7,0,0.4,0,,,54.1,0,0
포천,2017-01-11 7:00,-11.9,0,0.3,0,,,51.4,0,0
포천,2017-01-11 8:00,-11.6,0,0.3,0,,,49.3,0,0
포천,2017-01-11 9:00,-9.5,0,0,0,,,43.9,0,0
포천,2017-01-11 10:00,-6.7,176.1,1.1,0,,,28.3,0,0
포천,2017-01-11 11:00,-4.5,202.1,2.3,0,,,16.2,0,0
포천,2017-01-11 12:00,-2.2,219.7,3.9,0,,,14.7,0,0
포천,2017-01-11 13:00,0.2,234.2,3.3,0,,,16.2,0,0
포천,2017-01-11 14:00,0.6,305.1,3.3,0,,,13.9,0,0
포천,2017-01-11 15:00,1.2,296.4,2.7,0,,,9.7,0,0
포천,2017-01-11 16:00,0.4,285.2,2.3,0,,,12.8,0,0
포천,2017-01-11 17:00,-0.7,232.9,2.9,0,,,14.2,0,0
포천,2017-01-11 18:00,-2.2,240.9,3,0,,,20.2,0,0
포천,2017-01-11 19:00,-2.7,234.1,2,0,,,15.6,0,0
포천,2017-01-11 20:00,-2.5,243.6,2.4,0,,,15.1,0,0
포천,2017-01-11 21:00,-4.5,189.6,1.2,0,,,34.9,0,0
포천,2017-01-11 22:00,-3.8,242.4,1.3,0,,,28.4,0,0
포천,2017-01-11 23:00,-3.1,199.6,1.4,0,,,33.8,0,0
포천,2017-01-12 0:00,-2.6,202.8,1.6,0,,,30,0,0
포천,2017-01-12 1:00,-2.3,57.1,1.6,0,,,35.2,0,0
포천,2017-01-12 2:00,-3,65.2,0.9,0,,,44.9,0,0
포천,2017-01-12 3:00,-3.7,0,0.2,0,,,56.8,0,0
포천,2017-01-12 4:00,-5.7,9.3,0.8,0,,,63,0,0
포천,2017-01-12 5:00,-6.6,104.5,0.5,0,,,66.9,0,0
포천,2017-01-12 6:00,-7.3,206.9,0.8,0,,,64.4,0,0
포천,2017-01-12 7:00,-7.8,356.7,0.6,0,,,67.3,0,0
포천,2017-01-12 8:00,-8,207.1,0.7,0,,,68.3,0,0
포천,2017-01-12 9:00,-5.8,152,0.7,0,,,60.9,0,0
포천,2017-01-12 10:00,-3,135.5,1.5,0,,,53.8,0,0
포천,2017-01-12 11:00,-0.5,152.2,1.7,0,,,20.5,0,0
포천,2017-01-12 12:00,1.7,260.6,3.9,0,,,10.7,0,0
포천,2017-01-12 13:00,2,314.8,4.4,0,,,9.3,0,0
포천,2017-01-12 14:00,1.9,298.7,4,0,,,5.6,0,0
